GEO (Labels),SperantaDeViata,RataSaraciei,Medici,NrPaturi,RataOcPaturi,ChSanatate,AbsMedicina,SaliOperatie,CT,MorbiditateCronica,Fumatori,Alcool
Belgium,75.70,14.80,116.85,556.72,81.04,10.66,17.58,,2.41,26.10,15.40,9.70
Bulgaria,70.10,22.60,61.00,774.07,64.50,7.13,19.35,,3.94,21.70,29.10,10.20
Czechia,73.10,10.10,68.94,658.04,68.63,7.83,16.10,8.52,1.64,36.30,19.90,7.80
Denmark,75.90,12.50,,259.29,,9.96,,,4.06,31.20,12.90,9.60
Germany,75.40,18.90,100.65,791.48,,11.70,12.32,,,43.20,22.90,7.50
Estonia,70.40,21.70,83.05,453.01,73.80,6.73,10.40,10.25,1.88,44.20,19.30,1.30
Ireland,80.30,13.10,183.19,288.04,89.93,6.68,24.83,5.45,2.13,27.70,14.10,2.40
Greece,77.00,17.90,44.14,418.01,,7.84,,11.54,4.25,23.90,24.90,5.90
Spain,78.40,20.70,91.51,294.60,75.91,9.13,13.95,9.80,1.92,29.40,19.80,13.00
France,76.40,13.60,140.44,583.79,78.91,11.06,,16.03,1.82,38.20,18.50,9.90
Croatia,68.20,18.30,83.33,566.48,73.24,6.98,16.94,11.04,1.99,36.80,22.10,10.20
Italy,78.70,20.10,87.99,316.28,78.10,8.67,17.56,10.48,3.65,16.00,17.30,12.10
Cyprus,77.20,14.70,95.47,311.47,61.72,7.01,5.10,15.99,3.51,38.90,22.50,4.00
Latvia,67.20,22.90,71.53,542.32,73.22,6.58,23.51,16.35,3.71,42.10,22.60,1.20
Lithuania,67.90,20.60,103.18,634.65,72.82,7.01,20.40,,2.65,36.90,18.90,0.80
Luxembourg,75.60,17.50,,426.45,78.20,5.37,0.00,9.35,1.61,25.10,11.40,8.90
Hungary,69.50,12.30,74.73,690.75,63.81,6.35,15.76,,,39.80,24.90,6.30
Malta,79.50,17.10,82.33,410.27,,,33.53,9.92,1.98,30.70,20.60,7.90
Netherlands,78.40,13.20,171.75,307.84,63.40,10.17,15.11,7.02,1.49,32.30,15.40,8.30
Austria,75.90,13.30,152.94,718.90,72.93,10.43,13.99,4.62,2.87,37.50,20.60,5.70
Poland,69.70,15.40,,617.45,,6.45,,9.32,1.82,39.20,19.40,1.60
Portugal,71.50,17.20,282.70,350.60,81.40,9.53,15.84,8.83,,41.20,14.20,20.70
Romania,71.10,23.80,77.91,705.75,,5.74,25.64,9.87,1.75,18.90,18.90,2.90
Slovenia,74.20,12.00,67.71,443.21,68.87,8.52,13.79,8.57,1.82,35.80,17.40,6.60
Slovakia,68.60,11.90,,576.11,65.90,6.96,17.20,,1.78,31.90,21.00,4.10
Finland,78.20,11.60,,334.59,,9.15,11.90,,1.63,49.70,10.70,
Sweden,79.30,17.10,,207.10,,10.87,13.47,,,36.90,7.40,1.80
Iceland,83.00,,59.63,279.84,,8.57,11.37,,4.71,,8.40,1.00
Liechtenstein,80.70,12.70,124.47,145.22,79.22,5.57,0.00,10.37,2.59,,,
Norway,82.40,16.00,96.52,346.96,79.90,10.52,11.33,,2.64,38.90,10.30,1.40
Switzerland,83.80,,113.40,459.34,81.33,11.29,11.86,12.05,3.87,35.40,,
United Kingdom,79.80,24.50,,,,10.15,,,,,,
Montenegro,76.90,21.60,49.84,385.67,69.05,,5.14,,,18.30,,
North Macedonia,75.80,23.00,101.89,426.30,,,15.55,,,17.80,,
Serbia,76.00,23.20,,568.97,63.40,9.05,18.96,7.79,1.17,31.90,27.10,3.10
Turkey,75.70,22.40,63.31,287.61,65.53,,13.14,8.22,1.47,36.70,28.00,0.50
