,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12
SperantaDeViata,0.5325414191888468,0.7098220330767171,0.7141374202204016,0.7402474257250883,0.8606058506249326,0.8761685961644876,0.8763611074774778,0.8803133557304692,0.8819082998443319,0.9572093183797059,0.9590045488877301,1.0000000000000013
RataSaraciei,0.17567948004155284,0.2941741189111677,0.539674422734931,0.5443246461105469,0.5633259964361299,0.5696876959827327,0.9336278043141863,0.9466629235153932,0.9694573122622003,0.9919530286776156,0.9959501828269632,1.0000000000000007
Medici,0.3156385188671471,0.7034428452619625,0.7278263628034786,0.752223010336354,0.7772896220959924,0.7792741018935232,0.8070938012791277,0.8073067076515849,0.917840791263068,0.9180761631173108,0.9993248856181165,1.000000000000002
NrPaturi,0.44600466341121187,0.6104285887027456,0.6229223057210349,0.6836434257033676,0.7135918864066955,0.7164441517745506,0.7440247042787915,0.9309290027018677,0.9710376895709055,0.9713106800162925,0.9821218957661502,1.0000000000000002
RataOcPaturi,0.395084246199951,0.3986264225826381,0.5128964907756867,0.5151141045386465,0.5690087415556504,0.8139624922951999,0.8238509043410331,0.890416071144968,0.9108599747891933,0.9779372199826009,0.992921385036515,1.0000000000000013
ChSanatate,0.24997740581247233,0.2547616256263174,0.2696149261302603,0.41099989905972995,0.9141142225297834,0.9466233271998901,0.9523693520455413,0.955356069409684,0.9672033232756027,0.9755201248557972,0.9764348070738322,1.0000000000000009
AbsMedicina,0.10021487524036635,0.20718572869340135,0.4430832219234876,0.4432293529043078,0.5316981796525072,0.7799278098410689,0.8242549724686983,0.9965420009560559,0.9965613865943095,0.9969106906804637,0.9985942127628303,0.9999999999999993
SaliOperatie,0.03727258439528122,0.2572558018681605,0.2847355192944541,0.7346945339640312,0.7844179459017555,0.8132563656380685,0.8568100421444937,0.9062359303365666,0.9697232393521702,0.9719197054770954,0.9998040773570609,0.9999999999999987
CT,0.007667628024761751,0.40198694012145997,0.44559933145721375,0.6558026152635466,0.6571218656172314,0.6673618801865264,0.8363794387651022,0.8601773108968828,0.9934658655120292,0.9987840766821077,0.999983080962052,1.0000000000000007
MorbiditateCronica,0.007024700124582955,0.12352692192991972,0.6564563591984517,0.7925398206634173,0.8276127946893541,0.8791009649762823,0.9109193075421937,0.910919539848203,0.9435466486922915,0.9445143334382872,0.9935016697513052,0.9999999999999994
Fumatori,0.6197760854018073,0.6242999361960873,0.6402207961666083,0.6605448844944555,0.668408150932128,0.7467631336505028,0.7501188158327025,0.7537077273598113,0.7900254494963821,0.9922959737568104,0.9926608413022641,1.0000000000000009
Alcool,0.08812482406104936,0.21143022833439007,0.42512542656124325,0.5969431428143512,0.6912950011625663,0.9252150507577478,0.9252495503234519,0.9382085410564539,0.9490668423416373,0.952316374531589,0.9938597285006995,1.000000000000001
