,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12
SperantaDeViata,-0.7297543553750445,0.42104704474425464,-0.06569160634117965,-0.16158590750646123,-0.34692711756195177,-0.1247507336233142,-0.013874844611385615,0.06286690904594774,0.039936751418496154,0.2744103105485907,0.04237016058530136,0.20247333432398268
RataSaraciei,0.41914136045199935,0.3442305025264537,-0.4954798722690593,-0.06819254633474105,-0.1378453855795798,0.07976026295469972,0.6032744883810798,-0.11417144652323033,-0.15097810684601667,-0.14998572070505678,-0.06322305077539062,0.0636381738662997
Medici,-0.5618171578611204,-0.6227393727674648,-0.15615222554134817,0.1561942621637407,0.15832438776018815,0.0445475004633344,0.16679238407554606,0.01459131153999627,-0.3324666654139677,0.015341833470704455,0.28504161538415007,0.025982963300700736
NrPaturi,0.6678358057271352,-0.4054922012709169,-0.11177529699486043,0.24641655784937147,-0.17305623566727643,0.05340660415955225,-0.1660739368601857,-0.43232429774773967,0.20027153284737653,0.01652242250358549,0.10397699625329461,0.13370902824360856
RataOcPaturi,-0.6285572736035683,-0.05951618588827009,-0.3380385602162105,0.04709154661889796,0.23215218503603183,0.49492802581744094,0.09944049499994059,-0.25800226123802644,0.14298217946382463,0.25899275123718724,-0.12240982417238454,-0.08413450518952607
ChSanatate,-0.49997740530195195,-0.06916805486527051,-0.12187411744887795,0.3760119318977387,-0.7093055219509105,-0.18030281381638696,0.07580253851719769,-0.054650867917561,0.10884509114295725,-0.09119649982425078,0.030243713694502367,-0.15350958577941834
AbsMedicina,0.31656733129046394,-0.3270639898445486,-0.4856927971774816,0.01208846478343046,-0.29743709712845073,0.49822648483251236,-0.21054016867958814,0.41507472638954745,0.004402912473975716,-0.01868967859954321,-0.041030745574101746,0.03749382932122311
SaliOperatie,0.1930610898013404,0.46902368540712236,0.16577007397685994,0.6707898438926883,0.2229874703603867,0.1698187849924531,0.20869517604972396,0.222319338322317,0.2519668807911143,0.046866471223308254,0.16698614277827206,0.01399723697512557
CT,-0.08756499314658656,0.6279484947801836,-0.2088357999380226,0.4584793166614311,0.03632148611613841,0.10119295711310639,-0.41111745107520775,-0.1542655895907462,-0.36508705073604897,-0.07292606646514284,-0.03462664118773791,0.004113275817247435
MorbiditateCronica,-0.08381348414535071,-0.3413242180176156,0.7300201622342577,0.3688949192723663,-0.1872777990738271,0.22691004888926397,0.17837696758805888,0.00048198133695911895,-0.18062975625319475,0.031107631635913034,-0.2213308300102314,0.0806122214598649
Fumatori,0.7872585886491219,-0.06725957771410657,-0.12617789018097064,0.1425625768841429,-0.08867506096796647,-0.2799196004540855,0.057928250294650104,0.05990752479537815,-0.19057209170434897,0.44974495468034803,-0.01910150636608601,-0.08566888990606104
Alcool,-0.2968582558411495,-0.3511486925411238,-0.46227177961330623,0.41450900623883674,0.3071674760586071,-0.4836528192776111,-0.005873633092395078,0.1138375629263119,0.1042031731051572,-0.05700466814175606,-0.20382186823084128,0.07835988450286001
